2606:4700:a8:e7:b2dd:424a:e2c7:bddc,4,4,0.00,71.56,0.00
2606:4700:3033:d41d:54ba:b818:6b1e:fc0c,4,4,0.00,72.11,0.00
2606:4700:3030:5379:8385:f59e:fff8:17a6,4,4,0.00,72.27,0.00
2606:4700:3033:d41d:5466:9b46:37d:f76e,4,4,0.00,73.09,0.00
2606:4700:a8:6f63:62f5:bec8:40dd:a57a,4,4,0.00,73.57,0.00
2606:4700:3032:83e5:9f5b:6029:9701:abde,4,4,0.00,73.75,0.00
2606:4700:3031:f5:166c:86a7:ef55:53f8,4,4,0.00,73.98,0.00
2606:4700:3030:0:2fe4:be75:9bb1:544e,4,4,0.00,73.99,0.00
2606:4700:3037:3e:5a4b:5deb:9cfc:4451,4,4,0.00,74.12,0.00
2606:4700:3030:73:1bd1:5619:bd3d:87e3,4,4,0.00,74.51,0.00
2606:4700:3037:f1ab:42ac:6ab4:c7a3:4121,4,4,0.00,74.53,0.00
2606:4700:a8:6fb8:43ea:7a01:b9fb:2f34,4,4,0.00,74.63,0.00
2606:4700:3032:bb:1b4a:31b7:115b:69ba,4,4,0.00,74.78,0.00
2606:4700:3030:0:cb:a4c3:a065:15c9,4,4,0.00,74.81,0.00
2606:4700:a8:6f63:6221:2891:fec:54fc,4,4,0.00,74.85,0.00
2606:4700:3032:0:5582:9e8:1f69:6887,4,4,0.00,74.87,0.00
2606:4700:3033:d41d:5419:461a:d377:11a0,4,4,0.00,74.91,0.00
2606:4700:3033:d4a4:574:e2dd:4ed3:b5ab,4,4,0.00,74.92,0.00
2606:4700:3037:3e:5aca:fb98:4996:4d80,4,4,0.00,74.99,0.00
2606:4700:3036:1e27:e2b7:d797:aad:ac08,4,4,0.00,75.05,0.00
2606:4700:3036:1e27:e2b7:d797:a46:7afe,4,4,0.00,75.08,0.00
2606:4700:3033:d4a4:574:e205:ef56:7160,4,4,0.00,75.19,0.00
2606:4700:3037:3e:e0fa:f12:d6e2:a69c,4,4,0.00,75.29,0.00
2606:4700:3036:c5:599f:62cf:f6c8:17f3,4,4,0.00,75.31,0.00
2606:4700:3033:d41d:5419:461a:5836:8877,4,4,0.00,75.35,0.00
2606:4700:3033:d4a4:574:881b:9bac:98f7,4,4,0.00,75.35,0.00
2606:4700:3030:0:cb:a4c3:a070:9104,4,4,0.00,75.38,0.00
2606:4700:3033:d41d:54ba:cfcd:d8e5:9e98,4,4,0.00,75.40,0.00
2606:4700:3032:0:84cf:5ee4:7d04:637e,4,4,0.00,75.43,0.00
2606:4700:3033::77:55d7:df98,4,4,0.00,75.43,0.00
2606:4700:f4:0:96:e02d:6fd5:7eb,4,4,0.00,75.43,0.00
2606:4700:3030:0:2f73:a854:dd65:5cbe,4,4,0.00,75.47,0.00
2606:4700:3036:c5:599f:62cf:9491:2f43,4,4,0.00,75.50,0.00
2606:4700:3036:c5:599f:62cf:f60d:be8f,4,4,0.00,75.51,0.00
2606:4700:a8:6f63:62f5:bec8:4003:8025,4,4,0.00,75.52,0.00
2606:4700:a8:6fb8:43ea:65b0:c312:c6f6,4,4,0.00,75.53,0.00
2606:4700:a8:6fb8:43ea:65b0:1a23:f5e3,4,4,0.00,75.57,0.00
2606:4700:3031:f5:166c:86a7:efec:930d,4,4,0.00,75.58,0.00
2606:4700:3031:f5:f4e0:d820:f816:3921,4,4,0.00,75.61,0.00
2606:4700:3036:0:efac:4341:8757:20fd,4,4,0.00,75.61,0.00
2606:4700:3036::86:c319,4,4,0.00,75.63,0.00
2606:4700:3030:0:cb:a4c3:a015:4096,4,4,0.00,75.67,0.00
2606:4700:3036:c5:594b:1260:fe0e:bb28,4,4,0.00,75.70,0.00
2606:4700:3037:f1ab:e212:83ec:b101:6d41,4,4,0.00,75.74,0.00
2606:4700:3030:0:c3:3492:ecb4:501d,4,4,0.00,75.76,0.00
2606:4700:3033:d4a4:574:e205:3f86:6be,4,4,0.00,75.76,0.00
2606:4700:3034:c84e:4fbd:918a:7314:1dd2,4,4,0.00,75.77,0.00
2606:4700:3037:3e:5aca:bcd3:834e:9f49,4,4,0.00,75.79,0.00
2606:4700:3031:0:a27e:7b5e:bc38:c7db,4,4,0.00,75.84,0.00
2606:4700:a8:e7:b2dd:424a:e225:f2be,4,4,0.00,75.89,0.00
2606:4700:3033:d41d:5466:9ba7:a5e2:b692,4,4,0.00,75.89,0.00
2606:4700:3037:0:d3e9:4be3:5581:3341,4,4,0.00,75.93,0.00
2606:4700:3036:c5:594b:1260:f397:20,4,4,0.00,75.95,0.00
2606:4700:3033:d41d:5419:461a:d300:bb5,4,4,0.00,75.96,0.00
2606:4700:3030:0:2f73:a854:dd92:625c,4,4,0.00,75.97,0.00
2606:4700:3033:d4a4:574:881b:9b99:db36,4,4,0.00,76.00,0.00
2606:4700:3033:d41d:54ba:8653:7bc4:436,4,4,0.00,76.01,0.00
2606:4700:3036:c5:594b:1260:342:73cd,4,4,0.00,76.03,0.00
2606:4700:a8:6f63:62f5:be25:5331:80db,4,4,0.00,76.06,0.00
2606:4700:a8:a57c:75f6:d8c4:aa9:c0a8,4,4,0.00,76.10,0.00
2606:4700:3033:d41d:5466:9b46:b68a:8d20,4,4,0.00,76.13,0.00
2606:4700:3030:73:1ba0:663c:e424:bf09,4,4,0.00,76.19,0.00
2606:4700:3030:8e:e82e:b355:1c8:2b05,4,4,0.00,76.21,0.00
2606:4700:3030:0:542b:9da2:1a3a:14d0,4,4,0.00,76.22,0.00
2606:4700:3032:0:848b:e220:c4d1:10cf,4,4,0.00,76.26,0.00
2606:4700:3034:3ae1:8f58:8d34:aee2:78e1,4,4,0.00,76.40,0.00
2606:4700:3036:1e27:33b6:d36e:fdfd:f263,4,4,0.00,76.44,0.00
2606:4700:3032:8320:5464:343b:6d9a:95c7,4,4,0.00,76.46,0.00
2606:4700:3037:3e:5aca:bcd3:e52b:e85a,4,4,0.00,76.48,0.00
2606:4700:3031:0:a27e:7b5e:ea:5bef,4,4,0.00,76.49,0.00
2606:4700:3033:d4a4:574:881b:4f7c:9b5f,4,4,0.00,76.52,0.00
2606:4700:3031:0:8b:1530:5514:fdc5,4,4,0.00,76.53,0.00
2606:4700:3037:3e:e0fa:f12:40f6:3c2b,4,4,0.00,76.56,0.00
2606:4700:3033:d41d:5466:9ba7:a534:e98f,4,4,0.00,76.60,0.00
2606:4700:a8:a57c:7534:9b8c:dffe:e31d,4,4,0.00,76.64,0.00
2606:4700:3030:0:c3:3492:9a4:c7ef,4,4,0.00,76.64,0.00
2606:4700:3034:c84e:4f6e:531f:d8fb:49cb,4,4,0.00,76.64,0.00
2606:4700:3033:d4a4:574:e2fd:8240:e3bf,4,4,0.00,76.64,0.00
2606:4700:3036:0:efac:4341:87fb:57fa,4,4,0.00,76.66,0.00
2606:4700:3032:83e5:9f5b:6019:b029:1d60,4,4,0.00,76.75,0.00
2606:4700:3036:c5:594b:1260:3e0:6587,4,4,0.00,76.75,0.00
2606:4700:3036:0:ef2a:aec7:aa96:c66a,4,4,0.00,76.75,0.00
2606:4700:3036:c5:599f:62b0:ff04:3ad,4,4,0.00,76.75,0.00
2606:4700:3033:d4a4:574:e23f:ce06:d20e,4,4,0.00,76.76,0.00
2606:4700:3030:73:1ba0:663c:f790:b1ae,4,4,0.00,76.76,0.00
2606:4700:a8:6fb8:43ea:7abe:4a71:1931,4,4,0.00,76.77,0.00
2606:4700:a8:6fb8:43ea:6538:db26:a3f2,4,4,0.00,76.85,0.00
2606:4700:3030:73:1bd1:5619:bd3b:33c6,4,4,0.00,76.85,0.00
2606:4700:3037:3e:b540:369b:1fd3:c5fb,4,4,0.00,76.85,0.00
2606:4700:3033:d41d:5419:a8f5:f03d:c3e1,4,4,0.00,76.86,0.00
2606:4700:3031:b23:77ac:d686:d6d0:d00f,4,4,0.00,76.88,0.00
2606:4700:3032:bb:d1b5:4826:3d1e:67a1,4,4,0.00,76.89,0.00
2606:4700:3037:3e:e02d:9e0c:be2d:5c4c,4,4,0.00,76.92,0.00
2606:4700:3033:d4a4:574:881b:9b7c:6019,4,4,0.00,76.96,0.00
2606:4700:3034:c0:10b7:3b5e:38e5:288b,4,4,0.00,76.96,0.00
2606:4700:3037:3e:b540:36d2:b82:29af,4,4,0.00,76.97,0.00
2606:4700:a8:6fb8:43ea:7a01:b901:aded,4,4,0.00,77.00,0.00
2606:4700:3030:73:1917:6384:1ee2:50c6,4,4,0.00,77.07,0.00
2606:4700:3031:b23:cdbb:40ad:34:36a8,4,4,0.00,77.09,0.00
2606:4700:3036::cb2b:9616:f58f,4,4,0.00,77.10,0.00
2606:4700:3033:d41d:5419:7cf7:797f:cca1,4,4,0.00,77.12,0.00
2606:4700:3033:d41d:5419:7c7b:5f7d:2c37,4,4,0.00,77.13,0.00
2606:4700:3036:52e5:6f74:7cef:c53b:a7c4,4,4,0.00,77.15,0.00
2606:4700:3033:d41d:5419:7c7b:5fb6:e974,4,4,0.00,77.16,0.00
2606:4700:3037:f1ab:e212:838d:5069:66a9,4,4,0.00,77.16,0.00
2606:4700:a8:6f63:62f5:968e:4b4a:2a29,4,4,0.00,77.20,0.00
2606:4700:3037:3e:5a80:3a7f:6f13:fc4d,4,4,0.00,77.20,0.00
2606:4700:3036:0:ef2a:aec7:aabf:e9aa,4,4,0.00,77.21,0.00
2606:4700:3031:f5:f4e0:d820:5d07:c49e,4,4,0.00,77.21,0.00
2606:4700:3030:73:1917:6384:4fc:5323,4,4,0.00,77.22,0.00
2606:4700:3036:1e27:e2b7:31d2:a4ae:45d8,4,4,0.00,77.22,0.00
2606:4700:3036:0:e4dd:d6be:a84e:4702,4,4,0.00,77.27,0.00
2606:4700:3036:0:ef2a:ae86:dcc0:a692,4,4,0.00,77.28,0.00
2606:4700:a8:6fb8:43ea:7abe:4a31:193d,4,4,0.00,77.28,0.00
2606:4700:3035:a211:262a:3db3:1eb6:cd91,4,4,0.00,77.28,0.00
2606:4700:3033:d4a4:574:e205:2820:5c21,4,4,0.00,77.32,0.00
2606:4700:3037:3e:e0fa:f12:d653:4571,4,4,0.00,77.32,0.00
2606:4700:3030:0:cb:a42b:6f8:4b9a,4,4,0.00,77.38,0.00
2606:4700:3036:c5:599f:62b0:ffa4:afd6,4,4,0.00,77.42,0.00
2606:4700:3034:c84e:4f6e:5418:c719:90d7,4,4,0.00,77.43,0.00
2606:4700:3037:f1ab:42ac:eeb8:7faf:feb9,4,4,0.00,77.43,0.00
2606:4700:3033:d41d:5419:7cbd:3573:25a1,4,4,0.00,77.49,0.00
2606:4700:3030:5356:3850:6d8c:4a67:736d,4,4,0.00,77.50,0.00
2606:4700:3037:3e:e0fa:f12:4012:da1f,4,4,0.00,77.54,0.00
2606:4700:3033:d4a4:ff5b:d6d2:d0d7:b09e,4,4,0.00,77.57,0.00
2606:4700:3030:0:2f73:a854:dd48:8514,4,4,0.00,77.57,0.00
2606:4700:3037:78:c56a:53d5:a8ed:4353,4,4,0.00,77.59,0.00
2606:4700:3036:c5:599f:62b0:3280:47a4,4,4,0.00,77.60,0.00
2606:4700:3031:b23:cdbb:406d:b7d3:7b09,4,4,0.00,77.61,0.00
2606:4700:3037:f144:d062:9d8c:ea1a:e157,4,4,0.00,77.61,0.00
2606:4700:3032:bb:d1b5:2b6d:cb3b:2ceb,4,4,0.00,77.62,0.00
2606:4700:3037:f144:d062:9d8c:5c98:2735,4,4,0.00,77.63,0.00
2606:4700:3033:d41d:5419:7cbd:35e1:6efa,4,4,0.00,77.63,0.00
2606:4700:3031:f5:f432:e60a:7abd:321f,4,4,0.00,77.66,0.00
2606:4700:3036::cb2b:967d:1240,4,4,0.00,77.78,0.00
2606:4700:3037:3e:e0fa:f12:d61d:a568,4,4,0.00,77.78,0.00
2606:4700:3037:3e:e0fa:f12:40ee:ae27,4,4,0.00,77.80,0.00
2606:4700:3036:c5:599f:1791:eeab:56dd,4,4,0.00,77.83,0.00
2606:4700:3035:a211:a258:9bb2:62a5:fd4b,4,4,0.00,77.88,0.00
2606:4700:3030:0:cb:a42b:e176:88f2,4,4,0.00,77.88,0.00
2606:4700:3030:0:2f73:a854:ddc6:e0af,4,4,0.00,77.89,0.00
2606:4700:3037:f1ab:42ac:ee1f:a0fb:ca07,4,4,0.00,77.91,0.00
2606:4700:3033:d4a4:574:881b:9b5c:66f8,4,4,0.00,77.91,0.00
2606:4700:3036::c3d9:e745:b112,4,4,0.00,77.92,0.00
2606:4700:3036::cb2b:9624:151c,4,4,0.00,77.93,0.00
2606:4700:3030:5356:3850:6d8c:4a2e:cc35,4,4,0.00,77.93,0.00
2606:4700:3033:d41d:5419:7c7b:5f8b:2e4f,4,4,0.00,77.95,0.00
2606:4700:3036::c3d9:4897:c518,4,4,0.00,77.95,0.00
2606:4700:f4:0:96:e049:c12a:7579,4,4,0.00,77.95,0.00
2606:4700:3036:1e27:33b6:d3d7:b2e9:e1d6,4,4,0.00,77.96,0.00
2606:4700:3033:d41d:5419:7c7b:5f57:3347,4,4,0.00,77.97,0.00
2606:4700:3032:8320:f67d:4a35:9ea9:eb89,4,4,0.00,77.98,0.00
2606:4700:3037:3e:e02d:9e0c:19c1:6303,4,4,0.00,78.01,0.00
2606:4700:3036:c5:599f:17f8:be99:a434,4,4,0.00,78.09,0.00
2606:4700:3037:3e:e02d:9e37:1a77:2b3d,4,4,0.00,78.09,0.00
2606:4700:3032:8320:5464:1f46:72eb:236a,4,4,0.00,78.10,0.00
2606:4700:3036::c3d9:48f0:aed2,4,4,0.00,78.11,0.00
2606:4700:3032:8320:f67d:4a14:48e4:c4ab,4,4,0.00,78.12,0.00
2606:4700:3036::c301:51d7:7633,4,4,0.00,78.12,0.00
2606:4700:3037:3e:5a80:e4fc:aaca:546a,4,4,0.00,78.12,0.00
2606:4700:3032:8320:f67d:4a14:beb1:8faf,4,4,0.00,78.14,0.00
2606:4700:3033:d41d:5419:46ce:34e7:41ac,4,4,0.00,78.14,0.00
2606:4700:3031:b23:cd23:cb70:853c:d258,4,4,0.00,78.15,0.00
2606:4700:a8:6f63:6221:2891:f71:a042,4,4,0.00,78.18,0.00
2606:4700:3037:f144:d062:9d8c:5c0a:8928,4,4,0.00,78.18,0.00
2606:4700:3032:f78c:692d:6cd5:91fd:ee15,4,4,0.00,78.20,0.00
2606:4700:3037:3e:5a80:e438:2d6c:1dac,4,4,0.00,78.24,0.00
2606:4700:3037:3e:e02d:9eda:7edb:1741,4,4,0.00,78.25,0.00
2606:4700:3037:3e:e02d:9eda:5131:873d,4,4,0.00,78.31,0.00
2606:4700:3033:d4a4:574:881b:34cd:3594,4,4,0.00,78.33,0.00
2606:4700:3030:8e:e82e:b355:11e:32a1,4,4,0.00,78.35,0.00
2606:4700:3030:6ec3:feaa:1fb1:978:9fe6,4,4,0.00,78.35,0.00
2606:4700:3037:3e:e02d:9e37:f8ce:6ed4,4,4,0.00,78.37,0.00
2606:4700:a8:a57c:75f8:20d7:fcaa:b95,4,4,0.00,78.37,0.00
2606:4700:3036:1e27:33b6:d3d7:b2c7:fb53,4,4,0.00,78.37,0.00
2606:4700:3033:d41d:5419:461a:eb40:9076,4,4,0.00,78.38,0.00
2606:4700:3037:f1ab:d05d:26ac:a227:e813,4,4,0.00,78.39,0.00
2606:4700:3037:3e:e02d:9e37:1a02:9370,4,4,0.00,78.42,0.00
2606:4700:3033:d41d:5419:46ce:3447:953b,4,4,0.00,78.43,0.00
